证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
300948,冠中生态,15000,7/14,3.1%,68400,7/14/28,6.0%,0,0.0,15.25,-67.8135018831078,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-25,生态保护和环境治理业,商业和专业服务,基础建设,建筑施工,创业板,山东省,青岛市,1
300949,奥雅股份,49100,7/14,3.1%,26000,7/14/28,8.0%,0,0.0,38.65,-64.5412844036697,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-26,专业技术服务业,资本货物,基础建设,建筑设计及服务Ⅱ,创业板,广东省,深圳市,1
300950,德固特,20600,14,3.1%,52000,7/14/28,6.0%,0,0.0,19.36,-52.1599231145138,0.0,240.8594,236.7422,4.1172,0.0,0.00334633684014657,2021-03-03,专用设备制造业,资本货物,专用设备,专用机械,创业板,山东省,胶州市,1
300951,博硕科技,0,,2.0%,21200,7/14/28,6.0%,0,0.0,46.64,-44.9907072781065,0.0,1056.7096,1038.8059,17.9037,0.0,0.0250233312086341,2021-02-26,计算机、通信和其他电子设备制造业,技术硬件与设备,消费电子,消费电子,创业板,广东省,深圳市,0
300952,恒辉安防,0,,2.0%,50800,7/14/28,6.0%,0,0.0,19.34,-69.7396134252873,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-11,纺织业,耐用消费品与服装,服装家纺,品牌服饰,创业板,江苏省,南通市,0
300953,震裕科技,21000,14,3.1%,14600,7/14/28,6.0%,0,0.0,66.2,-30.7599845865445,1276.5082,40031.1361,38042.6484,1988.4877,0.423049609663432,0.437339920950764,2021-03-18,专用设备制造业,资本货物,电池,新能源动力系统,创业板,浙江省,宁波市,1
300955,嘉亨家化,0,,2.0%,46200,7/14/28,5.0%,0,0.0,21.52,-67.9743049142857,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-24,橡胶和塑料制品业,家庭与个人用品,化妆品,其他化学制品Ⅱ,创业板,福建省,泉州市,0
300956,英力股份,3000,14/28,3.2%,61600,7/14/28,7.0%,0,0.0,16.09,-62.9632090991399,2.8962,4252.9429,4149.8273,103.1156,0.00315763027145762,0.141562164843278,2021-03-26,计算机、通信和其他电子设备制造业,技术硬件与设备,消费电子,消费电子,创业板,安徽省,六安市,1
300957,贝泰妮,0,,2.0%,26400,7/14/28,5.86%,300,30060.0,96.72,-39.774781034271,4058.729,574035.1391,565413.3349,8621.8042,0.193030879988502,1.98904955685025,2021-03-25,化学原料和化学制品制造业,家庭与个人用品,化妆品,其他化学制品Ⅱ,创业板,云南省,昆明市,0
300958,建工修复,1336000,7/14,3.1%,51600,7/14/28,7.0%,0,0.0,23.22,-60.4052173,696.6,797.0523,216.0419,581.0104,0.389765653011361,0.0169249278856985,2021-03-29,生态保护和环境治理业,商业和专业服务,环境治理,环保及公用事业,创业板,北京,北京市,1
